LEMMA	POS	USEMID	SYNSETID	SENSEID	DEFINIZIONE PSC	DEFINIZIONE IWN	SIMILARITY
abbandonare	VERB	USem59592abbandonare	33547	46122	cessare di fare qualcosa.	piegare, lasciare cadere una parte del corpo.	0.7088299044243955
abbandonare	VERB	USem59592abbandonare	33777	46530	cessare di fare qualcosa.	lasciare definitivamente qualcuno, anche lasciare senza aiuto, sostegno e sim.	0.7194057160918411
abbandonare	VERB	USem59592abbandonare	33778	46533	cessare di fare qualcosa.	desistere da un'impresa, cessare di fare qualcosa o di prendersi cura di qualcosa.	0.8752662162122539
abbandonare	VERB	USem59592abbandonare	33779	46534	cessare di fare qualcosa.	lasciare andare qualcosa, abbandonando la presa.	0.6938128072155588
abbandonare	VERB	USem73115abbandonare	33547	46122	lasciare.	piegare, lasciare cadere una parte del corpo.	0.6568423471703716
abbandonare	VERB	USem73115abbandonare	33777	46530	lasciare.	lasciare definitivamente qualcuno, anche lasciare senza aiuto, sostegno e sim.	0.6286841850640134
abbandonare	VERB	USem73115abbandonare	33778	46533	lasciare.	desistere da un'impresa, cessare di fare qualcosa o di prendersi cura di qualcosa.	0.5421336263236552
abbandonare	VERB	USem73115abbandonare	33779	46534	lasciare.	lasciare andare qualcosa, abbandonando la presa.	0.6006288805517641
abbandonare	VERB	USem79706abbandonare	33547	46122	far restare in un luogo.	piegare, lasciare cadere una parte del corpo.	0.6295836162852423
abbandonare	VERB	USem79706abbandonare	33777	46530	far restare in un luogo.	lasciare definitivamente qualcuno, anche lasciare senza aiuto, sostegno e sim.	0.5823253875180168
abbandonare	VERB	USem79706abbandonare	33778	46533	far restare in un luogo.	desistere da un'impresa, cessare di fare qualcosa o di prendersi cura di qualcosa.	0.6466448180767375
abbandonare	VERB	USem79706abbandonare	33779	46534	far restare in un luogo.	lasciare andare qualcosa, abbandonando la presa.	0.5514711626655978
aborto	NOUN	USem74956aborto	6762	11304	interruzione di gravidanza.	interruzione di gravidanza.	1.0
aborto	NOUN	USem74956aborto	6763	11305	interruzione di gravidanza.	persona o cosa brutta o imperfetta.	0.4924210535220844
aborto	NOUN	USem74956aborto	6764	11306	interruzione di gravidanza.	insuccesso, fallimento, cattiva riuscita di qualcosa.	0.7945190416686586
acquisto	NOUN	USem7058acquisto	7415	12208	l'atto dell'acquistare.	la cosa acquistata con una spesa.	0.2562326699359982
acquisto	NOUN	USem7058acquisto	11833	18185	l'atto dell'acquistare.	L'atto con cui si compra qualcosa.	0.6653883304356638
adattamento	NOUN	USem73762adattamento	6510	10928	l'adattarsi.	trasposizione di un'opera da un linguaggio all'altro; trasposizione di un opera da un linguaggio ad un altro; trasposizione in un altro linguaggio.	0.3736810222995802
adattamento	NOUN	USem73762adattamento	11115	17246	l'adattarsi.	atto dell'adattare o dell'adattarsi.	0.6301027427972831
adattamento	NOUN	USem73762adattamento	11116	17247	l'adattarsi.	capacità degli esseri viventi di adattarsi all'ambiente circostante.	0.4402082581065897
adattamento	NOUN	USem73762adattamento	11117	17248	l'adattarsi.	processo linguistico tramite il quale le parole straniere subiscono delle modifiche in conformità con la lingua che le riceve.	0.21755120455926188
adattamento	NOUN	USem73763adattamento	6510	10928	l'adattare qualcosa ad altri elementi.	trasposizione di un'opera da un linguaggio all'altro; trasposizione di un opera da un linguaggio ad un altro; trasposizione in un altro linguaggio.	0.5681901549126591
adattamento	NOUN	USem73763adattamento	11115	17246	l'adattare qualcosa ad altri elementi.	atto dell'adattare o dell'adattarsi.	0.6272158529517926
adattamento	NOUN	USem73763adattamento	11116	17247	l'adattare qualcosa ad altri elementi.	capacità degli esseri viventi di adattarsi all'ambiente circostante.	0.6249626969432163
adattamento	NOUN	USem73763adattamento	11117	17248	l'adattare qualcosa ad altri elementi.	processo linguistico tramite il quale le parole straniere subiscono delle modifiche in conformità con la lingua che le riceve.	0.3487851587154485
americano	NOUN	USemTH01235americano	21749	26958	Abitante delle Americhe.	abitante dell'America.	0.6943524200347198
americano	NOUN	USemTH01235americano	21750	26959	Abitante delle Americhe.	tipo di aperitivo.	0.6022617716262246
americano	NOUN	USemTH01236americano	21749	26958	La lingua inglese parlata in America.	abitante dell'America.	0.4591013939466492
americano	NOUN	USemTH01236americano	21750	26959	La lingua inglese parlata in America.	tipo di aperitivo.	0.35900617059462825
causare	VERB	USemD5412causare	34753	44518	essere la causa di qlco; produrre, provocare.	essere causa di q.c.	0.8322377508240043
causare	VERB	USemD5412causare	37922	50905	essere la causa di qlco; produrre, provocare.	far succedere, provocare.	0.6708772836480092
colonna	NOUN	USem64597colonna	1372	2823	fila di cose o persone.	serie di persone, veicoli, cose allineate.	0.7791189132276729
colonna	NOUN	USem64597colonna	18210	25973	fila di cose o persone.	elemento architettonico usato come sostegno o anche per abbellimento.	0.6572277262366854
colonna	NOUN	USem64597colonna	18211	25974	fila di cose o persone.	gruppo di righe composte e non impaginate.	0.7361505037730182
colonna	NOUN	USem64597colonna	18212	25975	fila di cose o persone.	si dice di varie cose verticali di forma allungata.	0.6598716302266461
colonna	NOUN	USem64597colonna	50952	67231	fila di cose o persone.	persona che rappresenta un valido sostegno morale o economico.	0.6073531223570678
colonna	NOUN	USem64598colonna	1372	2823	tutto cio' che serve a sostenere anche moralmente.	serie di persone, veicoli, cose allineate.	0.48517979888176943
colonna	NOUN	USem64598colonna	18210	25973	tutto cio' che serve a sostenere anche moralmente.	elemento architettonico usato come sostegno o anche per abbellimento.	0.5746394799826766
colonna	NOUN	USem64598colonna	18211	25974	tutto cio' che serve a sostenere anche moralmente.	gruppo di righe composte e non impaginate.	0.5130751099298287
colonna	NOUN	USem64598colonna	18212	25975	tutto cio' che serve a sostenere anche moralmente.	si dice di varie cose verticali di forma allungata.	0.5196405240107116
colonna	NOUN	USem64598colonna	50952	67231	tutto cio' che serve a sostenere anche moralmente.	persona che rappresenta un valido sostegno morale o economico.	0.5939291691015042
colonna	NOUN	USemD7455colonna	1372	2823	elemento architettonico di sostegno a forma cilindrica.	serie di persone, veicoli, cose allineate.	0.6426993142450544
colonna	NOUN	USemD7455colonna	18210	25973	elemento architettonico di sostegno a forma cilindrica.	elemento architettonico usato come sostegno o anche per abbellimento.	0.7148123590269322
colonna	NOUN	USemD7455colonna	18211	25974	elemento architettonico di sostegno a forma cilindrica.	gruppo di righe composte e non impaginate.	0.6915433236813318
colonna	NOUN	USemD7455colonna	18212	25975	elemento architettonico di sostegno a forma cilindrica.	si dice di varie cose verticali di forma allungata.	0.7032371304255586
